Epoch	Train Loss	Test Loss	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.5707155448249263	0.4443510196557859	0.38701147	0.09200155724117144	0.4529205925266464	0.15293707490804026	0.08831752268558907	0.07948784529020451	0.08367038151793703
2	0.35202630870362633	0.2951708457818845	0.37011012	0.3081132524387342	0.28822612953483195	0.2978380864765409	0.5225168876657493	0.025824121472908475	0.049215868789103466
3	0.2440798822631184	0.22960356459385012	0.26585582	0.35961346125351906	0.480160496574919	0.4112348960594733	0.5277991288752242	0.025471721443232682	0.048598086745225706
4	0.194942985717048	0.20029966823938417	0.2044341	0.32268024608861956	0.6060538615624305	0.42113583980787944	0.5268230003212335	0.03041768677201573	0.05751459783618861
5	0.17103786728320977	0.1863014716200712	0.1976065	0.32202498055542844	0.6092130969161906	0.4213355111534893	0.5321537522879805	0.026961693498528574	0.05132309068334676
6	0.1583820502472739	0.17938674822813128	0.19989462	0.3229606535380244	0.6071296090214408	0.42163429336905556	0.5304212168486739	0.02942849370625912	0.05576317053455326
7	0.15118241208231348	0.17579911721915734	0.20386243	0.32378887386836513	0.6056458194228058	0.42197989648866996	0.5234193222053617	0.03198803076390434	0.06029143579614643
8	0.14674605085299566	0.17378252326715282	0.23023055	0.3419771002226156	0.5565447486213122	0.42364147187410295	0.5272664913684691	0.028513490120434255	0.05410129329305845
9	0.14355394651747158	0.17225049018132976	0.22807704	0.3523365836323947	0.5578183346934737	0.4318820947425609	0.5293691080493111	0.027079160175087172	0.05152274411546741
10	0.13982120850402066	0.17079886267097985	0.20787604	0.37043555688702484	0.5504179340702822	0.4428378149839337	0.5273037542662116	0.04775947770606128	0.08758602705246091
11	0.13537920622998834	0.17065932565345998	0.18555875	0.35324567326215245	0.5725140341766204	0.436912740595003	0.5112537306734286	0.14085491010708015	0.22086073936920472
12	0.13176342341889682	0.1716327025759511	0.18555875	0.35324567326215245	0.5725140341766204	0.436912740595003	0.5112537306734286	0.14085491010708015	0.22086073936920472
13	0.12898649994888875	0.17172214243470169	0.18555875	0.35324567326215245	0.5725140341766204	0.436912740595003	0.5112537306734286	0.14085491010708015	0.22086073936920472
14	0.12656319810029787	0.17369493769436348	0.18555875	0.35324567326215245	0.5725140341766204	0.436912740595003	0.5112537306734286	0.14085491010708015	0.22086073936920472
15	0.12438106683329639	0.17481666985081462	0.18555875	0.35324567326215245	0.5725140341766204	0.436912740595003	0.5112537306734286	0.14085491010708015	0.22086073936920472
16	0.12237319369346668	0.1763301613490756	0.18555875	0.35324567326215245	0.5725140341766204	0.436912740595003	0.5112537306734286	0.14085491010708015	0.22086073936920472
17	0.12063682283091749	0.17765760512613668	0.18555875	0.35324567326215245	0.5725140341766204	0.436912740595003	0.5112537306734286	0.14085491010708015	0.22086073936920472
18	0.11910650274182996	0.17694920592191743	0.18555875	0.35324567326215245	0.5725140341766204	0.436912740595003	0.5112537306734286	0.14085491010708015	0.22086073936920472
19	0.11763670588405724	0.1813496823717908	0.18555875	0.35324567326215245	0.5725140341766204	0.436912740595003	0.5112537306734286	0.14085491010708015	0.22086073936920472
20	0.11587311537602009	0.17871738570492443	0.18555875	0.35324567326215245	0.5725140341766204	0.436912740595003	0.5112537306734286	0.14085491010708015	0.22086073936920472
