Epoch	Train Loss	Test Loss	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.22515849163273957	0.12103319345526613	0.5542354	0.8429892113645465	0.9112793590299362	0.8758050861376264	0.8221942673997376	0.9320933851901664	0.873701455805345
2	0.10046637257333217	0.08712415576325676	0.4840137	0.8913875602505907	0.923855221859524	0.9073310307074661	0.8954799870601792	0.9193406941851007	0.9072534839837485
3	0.06655128538944122	0.07319954200459354	0.50812393	0.922240916232657	0.928350123234016	0.9252854358170661	0.920702231222286	0.9298600079960418	0.9252584603130698
4	0.053475655914622694	0.07024150378356091	0.45321572	0.9274391178624102	0.9325447900885845	0.9299849464178594	0.9347755818092527	0.9244588502549695	0.9295885927051849
5	0.04869206946930433	0.0654727968069687	0.46702543	0.9335436118677579	0.9381079366076257	0.9358202088159796	0.9383128082019638	0.9328925106805367	0.9355948089865395
6	0.04571357349470049	0.061783169289630964	0.457197	0.9365535393827664	0.9410236388730177	0.9387832679646173	0.9426052268575477	0.9343488778734818	0.938458893344371
7	0.043570524778804326	0.06060657969358339	0.45354527	0.9394609675020692	0.9410486265036618	0.9402541267959403	0.9454881855906991	0.9344936338027306	0.9399587604046921
8	0.04204172787511051	0.0585078491188715	0.49623308	0.9426126916360892	0.9408544697414154	0.9417327600362093	0.9431027885546498	0.9403369098515217	0.941717818321766
9	0.04075902764590789	0.05691231668770658	0.44402757	0.9413170284228202	0.9461614212428178	0.9437330080355362	0.9481610913336357	0.9385421086573237	0.9433270797562264
10	0.03969674103066316	0.05574647683887123	0.46293914	0.9455421530030753	0.9436980812563283	0.9446192171381218	0.950044802520103	0.9387372228000546	0.9443571650912723
11	0.0387605429217174	0.0548048845325419	0.40273038	0.9436644984025621	0.9463221654261569	0.9449914633313309	0.955796049062665	0.9321397224056138	0.9438196757686941
12	0.03796338170485677	0.05462397405651608	0.5008413	0.9448678634358032	0.9458614739370396	0.9453644076067923	0.9447605455580019	0.9459666900522806	0.9453632330895373
13	0.03720124502118158	0.05336309106579061	0.4024547	0.9457385206711717	0.9475919391626827	0.9466643227429876	0.9570843349272452	0.933437355914237	0.9451129551269797
14	0.03649412079675127	0.05221399350705519	0.4660952	0.9468234001639506	0.9492056039692229	0.9480130055454478	0.9507793250261065	0.9450700074905449	0.9479160695027284
15	0.035907064720407826	0.051766379909708324	0.5143378	0.9481525625174323	0.9480471735830386	0.9480998651215282	0.9464053355105736	0.9497218235264383	0.9480606791083972
16	0.03545491728643709	0.05060412266609297	0.485756	0.9501171132870871	0.9474235359354679	0.9487684128316927	0.9517316706104599	0.9457574066783799	0.9487351336286132
