Epoch	Train Loss 1	Train Loss 2	Test Loss 1	Test Loss 2	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.2019127799603944	0.10386171054600155	0.1550889784594377	0.12139422719256353	0.10881192	0.18279842296391244	0.36923342936246895	0.24453403660885423	0.0	0.0	0.0
2	0.09249163238434102	0.08665240162951966	0.11835970488687356	0.11117677751739147	0.19513346	0.5798857064339457	0.23090377515854627	0.3302899255996428	0.9426041030431502	0.036806024653323596	0.07084572412279962
3	0.0769328624313572	0.07765830428165904	0.09900725277761618	0.10270206125105842	0.2962519	0.8379909476164835	0.26090709303883464	0.39792187090458797	0.9058826243801014	0.2340989008907772	0.37205186575816496
4	0.06898616445525843	0.07431824475337388	0.09768245020260413	0.10140413789678428	0.33162507	0.8553278876600431	0.2614805321795808	0.4005191710239821	0.9039818545131861	0.24545685387788657	0.386081555026266
5	0.0661084731460346	0.0731172564486831	0.09615283296753963	0.10032078388888957	0.35304746	0.8481370280603805	0.2652234939594237	0.40408450181159666	0.8985041121815198	0.25043753231075283	0.3916981401178849
6	0.06489180093688052	0.07250586931072807	0.09391521417846282	0.1000695526221041	0.3619969	0.8497782791958508	0.2662890035065716	0.4055071135508363	0.898674599132251	0.25186148516178	0.39345401209819364
7	0.06425947007816095	0.07211443373017896	0.09296424012631178	0.10025833111445782	0.3619969	0.8497782791958508	0.2662890035065716	0.4055071135508363	0.898674599132251	0.25186148516178	0.39345401209819364
8	0.06381174028223255	0.07179695869780194	0.09293194747219483	0.09964166027256997	0.35455534	0.8628053464433861	0.27181646580514013	0.4133971291866029	0.8971010657025406	0.25916152325076514	0.40214754142969883
9	0.06344431753283605	0.071497365611337	0.09148691563556592	0.09873794610217466	0.34234706	0.8640754516650371	0.27058646515278734	0.4121176865564607	0.9046102600252182	0.2556472356726143	0.3986375665643785
10	0.06316301414777208	0.07127603699879373	0.09215738995621602	0.09801346729114904	0.32250825	0.8472937790067756	0.2756495645019076	0.4159714068185084	0.8957156546905323	0.26095093395173574	0.4041576698797079
11	0.06295057160821563	0.07104201719827824	0.09121666755527258	0.09739859729247578	0.2922947	0.847522292424505	0.27611568108787193	0.41652952379037606	0.9043555054029855	0.25859544938338636	0.4021875855718848
12	0.06273085894840798	0.07083275687675607	0.09135833074649174	0.09690575535267086	0.28868014	0.8390172630917265	0.2771334917217835	0.4166458388039428	0.9024195491057072	0.25883534685878107	0.4022856270688454
