Epoch	Train Loss 1	Train Loss 2	Test Loss 1	Test Loss 2	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.37250172812491655	0.3617013238725208	0.6864596704641978	0.6682088414827982	0.26552242	0.06127419678879444	0.9937062591191236	0.11543067462632972	0.06412965140018141	0.4340455523406781	0.11174859669605786
2	0.34719237964600325	0.3358664484251113	0.6486759136120478	0.6168636878331503	0.43546528	0.06626730562609384	0.5990429557088804	0.11933368515755423	0.0680794974926148	0.3349716843484927	0.11316033780389871
3	0.31969072110950947	0.3071948914300828	0.595301479101181	0.5639339248339336	0.43384606	0.0727466547756322	0.5164082399782377	0.1275283369161618	0.07427270246094816	0.23049434923461187	0.11234441600159105
4	0.290499797090888	0.27813940885521116	0.5411029805739721	0.5077408770720164	0.4279088	0.08408585722527497	0.4226080075178673	0.1402636149952959	0.08799619186457318	0.14628928951208053	0.10989072231020373
5	0.26139121875166893	0.2502315565943718	0.4903476685285568	0.4574383815129598	0.43736163	0.11574072981399443	0.3031814921977397	0.16752726558429912	0.10283353369957238	0.08355590177312858	0.09219780744540784
6	0.2352096689864993	0.22612643667629787	0.44207027554512024	0.4142885764439901	0.41738588	0.1461774635406591	0.28964191211019613	0.1942966394465849	0.11359984095690927	0.04239310532433167	0.06174445880175949
7	0.21250100061297417	0.20475281668560846	0.40304146458705264	0.3758002758026123	0.38755494	0.1699484374466447	0.3384647723619457	0.22627877515339517	0.1379457482474855	0.027981798847590077	0.04652597168967608
8	0.19265938643366098	0.18646703518572308	0.36782577882210415	0.34570288062095644	0.34932068	0.1768458130526513	0.4202772213566783	0.24894121524503565	0.18807627829002516	0.022195019412913915	0.03970448362051804
9	0.17522716661915183	0.17025552690029144	0.3362508912881215	0.31505715250968935	0.3249493	0.21027662110139725	0.4548804312881767	0.2876034156228196	0.5171507809078967	0.02190444394984791	0.04202871903154823
10	0.16036086296662688	0.15646546298549288	0.3120790595809619	0.29253875017166137	0.31971627	0.2364073804239169	0.43131908895318644	0.30541552753292633	0.516848745960917	0.02076687192422781	0.03992938952849086
11	0.14718742156401277	0.14455633184739522	0.2899306391676267	0.2714304745197296	0.31086275	0.2706811031980391	0.4335385908944778	0.3332786772271769	0.5241865822055859	0.022510324702623836	0.043166917614141584
12	0.13610631972551346	0.13403514453342982	0.2711101447542508	0.25382467210292814	0.311664	0.33813642741952377	0.39926305116601135	0.3661661979497415	0.5231825185600224	0.023091475628755843	0.044230757844002204
13	0.12645098590292037	0.12544398612919308	0.2553405525783698	0.2388412594795227	0.28350434	0.33324777738933414	0.46556989885500905	0.38844942626269924	0.52137414438848	0.02495857754037144	0.04763674767391779
14	0.11841058195568621	0.11786136226285071	0.24209708472092947	0.22640446921189625	0.25435886	0.32718928336430186	0.48880357098696736	0.39199188876301155	0.5216777291343031	0.02283799490565571	0.043760254458653426
15	0.11133721750229597	0.11130374244281224	0.23024451111753783	0.21805164217948914	0.27475813	0.3604019381610986	0.45479387689492295	0.4021330621906254	0.5166021921341071	0.019814773598437075	0.038165666380870725
16	0.10536262532696128	0.10597206563467071	0.22188089663783708	0.20794914166132608	0.263543	0.36409193183935334	0.47119593441649976	0.41077727803124414	0.52182727395594	0.023870465168039173	0.045652598036027836
17	0.10034958552569151	0.10156914538570813	0.21398835505048433	0.2001826872428258	0.2393971	0.3515056183607005	0.5097991938076514	0.41610653586855595	0.518648310387985	0.025620100403096174	0.04882819404022671
18	0.0961027443408966	0.09727457502768153	0.20674029737710953	0.1962017317612966	0.22125469	0.339676182847989	0.5505972253134506	0.42015129749276414	0.5212112945027964	0.02362316690160002	0.04519780694231691
19	0.09247176512144506	0.09416465674127851	0.20204723998904228	0.19042761127154031	0.21241742	0.33498399816079205	0.5675247916512105	0.4212961156916694	0.5229667088074168	0.023017286148824097	0.044093872692710825
20	0.08922833623364568	0.09113548731520063	0.19776959468921027	0.1857432057460149	0.21273908	0.33485673149289386	0.5694042584761481	0.42171198582388375	0.5217050209205021	0.024668002077305438	0.0471085503789936
21	0.08652607095427811	0.08850873439084916	0.19335493942101797	0.18292613327503204	0.21157196	0.33417699518786864	0.570591290155056	0.42149683164925505	0.5209016978170923	0.02257214926923362	0.04326931623577097
22	0.08418657933361828	0.08636660536839849	0.19058695745964846	0.17987191279729206	0.20480116	0.3317129038663376	0.5783750030912284	0.42161740713699825	0.5214276057861296	0.023845735341395256	0.04560584114221526
23	0.08218591986224055	0.0845282491119135	0.1875605812917153	0.1769446442524592	0.21448493	0.33662030003097665	0.5643470089274674	0.42170377898918965	0.5202835762111068	0.024501075747459012	0.04679833495704544
24	0.080382339656353	0.08250929273310162	0.18571672091881433	0.17506582339604695	0.21352567	0.3371816097573623	0.5628261245888666	0.4217177507707202	0.5206241519674355	0.02372208620817568	0.04537660095318062
25	0.07891551195643842	0.08126424927087057	0.18360103418429694	0.17351176738739013	0.21567774	0.33770812128056343	0.5620409525929223	0.42190828464155267	0.520467032967033	0.023425328288448698	0.044832808765411646
26	0.07759483740665019	0.08004203225885119	0.182040020202597	0.1722925126552582	0.21377322	0.33626706797016714	0.5650208967035141	0.42161424033916994	0.5217821782178218	0.022807082622350816	0.04370387044035589
27	0.0764154267963022	0.07942972172583852	0.1802966706454754	0.17106384932994842	0.2058958	0.3328259312320917	0.5745047852214556	0.4214782695465225	0.5207691359546407	0.02612087939263546	0.04974655747935077
28	0.07545477082021534	0.0780188414667334	0.17948348199327788	0.17002039551734924	0.20761065	0.3334341132982763	0.5727366026164157	0.42148773491119956	0.5242258652094718	0.02668966540544551	0.050793314625580205
29	0.07462514447979629	0.07721564741361708	0.17850854061543941	0.16930332283178964	0.22158924	0.3398767249240409	0.5553391695724212	0.42167897003767296	0.5172678434382195	0.029168830526498008	0.05522359234267187
30	0.07387594250030816	0.07666010214459329	0.17800701471666494	0.1687997947136561	0.20837872	0.33231486921994907	0.5769406731458813	0.42172074936223763	0.5144910999543587	0.02787669708435344	0.052887773294548183
31	0.07320478768087924	0.07588695486386617	0.1771804733822743	0.16825933506091437	0.21498469	0.33548981000843836	0.5677968197442936	0.42177098808947017	0.5153712924875514	0.029434676162920097	0.05568876984080569
32	0.0725965746678412	0.07531794515394029	0.17682685516774654	0.16761983732382457	0.21264155	0.33468000072336657	0.5720874446670129	0.4223050295162619	0.5124244459368704	0.033020501026287806	0.0620429689088174
33	0.0720614343881607	0.07494369681392397	0.17649480576316515	0.16735613892475765	0.21737087	0.33552363488182557	0.5701337883621436	0.42244088356283616	0.516125770902841	0.03156144125429681	0.05948531510903699
34	0.0716380497906357	0.07465531339957601	0.17591160659988722	0.16729284673929215	0.21995203	0.3367052605730077	0.56796374607414	0.4227764623586883	0.5166771554436753	0.0304547815119816	0.057519178897957754
35	0.07126660528592765	0.07386240859826405	0.17572500556707382	0.16690775205691655	0.21888536	0.3378146980891156	0.5659359002893389	0.42308456699682473	0.5176060299246259	0.02844548309716349	0.05392734283889192
36	0.07085165847092867	0.07361727491730735	0.17543868410090604	0.16692103147506715	0.21888536	0.3378146980891156	0.5659359002893389	0.42308456699682473	0.5176060299246259	0.02844548309716349	0.05392734283889192
37	0.07055116654373705	0.07306158844204176	0.17513078761597475	0.16650384068489074	0.22229524	0.34323243206070125	0.5554195415090141	0.4242754829523317	0.5136743334477629	0.027753047951133862	0.052660906696698276
38	0.07012276526074857	0.07258971008871283	0.17510667194922766	0.16620997935533524	0.21618956	0.3416191819464034	0.561540173603383	0.4248040914543886	0.5184065074564606	0.030732992061725646	0.05802599555262436
39	0.06978617236018181	0.07239483882273946	0.17512263854344687	0.1656734302639961	0.21390378	0.3440032600085309	0.5584427628162326	0.4257454209519141	0.5273340832395951	0.028983356826668645	0.054946729333442725
40	0.0695140406023711	0.07201688967290379	0.1745942880709966	0.16531206766764323	0.21565852	0.3444168418370597	0.5682852338205109	0.4288957168286941	0.5479862059990891	0.05206864999876351	0.09510097844927366
41	0.06909410166554153	0.07100589981391317	0.17373250549038252	0.16404211421807607	0.2143701	0.35260583152507835	0.5605880752775924	0.4329127098939609	0.5808087638625913	0.05310112026114697	0.09730593193456291
42	0.06853330065496266	0.07017162823606105	0.173119330778718	0.16198098063468933	0.22686751	0.36947448932933163	0.5495152953977792	0.44185884657257757	0.5990681332111213	0.09697801518411356	0.16693272034565695
43	0.06780874403193593	0.06897300082658019	0.17269098572432995	0.1580561215678851	0.24615367	0.4042734298675798	0.5167915522912184	0.45365983381906794	0.6612769485903814	0.11833222049113436	0.2007425586810144
44	0.06686615338549018	0.06688142310650576	0.16997507711251578	0.1559597671031952	0.26231417	0.44168149394019696	0.5049212355021391	0.4711889342429793	0.6548659363144209	0.18995598090857382	0.29448975875322286
45	0.0656769551569596	0.06505258354757514	0.16854551248252392	0.15502990384896595	0.25864145	0.4475899793450035	0.5104359868437323	0.47695165031325193	0.6338087452040602	0.24204936073398126	0.35031473834439125
46	0.06456012732814997	0.06295076260964076	0.1663765019426743	0.15339432309071224	0.23520803	0.443219373855567	0.4908437816850904	0.46581748201692114	0.6301718743178146	0.2677065558770433	0.3757772464755425
47	0.06317725940607488	0.06148938329092094	0.16760965871314207	0.15428383102019627	0.23520803	0.443219373855567	0.4908437816850904	0.46581748201692114	0.6301718743178146	0.2677065558770433	0.3757772464755425
48	0.062046971754170954	0.06029098436591171	0.16861589501301447	0.15245125989119213	0.21239382	0.43915155953675716	0.4967727576229691	0.46618840272801904	0.6255361177632558	0.2858397012636941	0.39238051591494494
49	0.0612055464880541	0.05888573248826322	0.169351934765776	0.15293740034103392	0.21239382	0.43915155953675716	0.4967727576229691	0.46618840272801904	0.6255361177632558	0.2858397012636941	0.39238051591494494
50	0.06038017233368009	0.058083050130378636	0.17056557163596153	0.15164329210917155	0.2079308	0.43641442211771414	0.47331651705121547	0.4541170259777621	0.617272611302462	0.29915671291144247	0.4030016074090731
